importer_iso3,canal,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,dep_share_sea,oil_v_total,oil_q_total,oil_q_canal,oil_v_canal,dep_oil_share_q,dep_oil_share_v,criticality_oil_tonnes,rerouting_share,Stakes_ic,total_naval_fleet,proximity_score,ability_score,Entity,Year,regime_score,regime_scaled
TUR,Strait of Hormuz,199402699.61554128,212936672317.84818,103090677.23658912,105726977277.51768,96312022.37895216,107209695040.33044,11565083.020060197,13049645763.705463,5316598.024696139,6248484.995364058,6582929073.440743,6466716690.264719,11.013866712990689,0.057998628114655795,3068259.195,4840713.348,280754.7332803024,177954.82401017816,0.05799862811465579,0.057998628114655795,56.2,0,3.2595229000436556,182,0,182,Turkey,2024,1,0.2
TUR,Suez Canal,199402699.61554128,212936672317.84818,103090677.23658912,105726977277.51768,96312022.37895216,107209695040.33044,55959736.063439,70796573932.51439,30998694.04393473,24961042.01950427,46023550649.662384,24773023282.852,12.87404774451186,0.2806368026678288,3068259.195,4840713.348,1358482.316614201,861066.4502409663,0.2806368026678288,0.2806368026678288,56.2,0.4,9.463072985959187,182,0,182,Turkey,2024,1,0.2
TUR,Taiwan Strait,199402699.61554128,212936672317.84818,103090677.23658912,105726977277.51768,96312022.37895216,107209695040.33044,14220501.941415597,17770972960.87591,7772891.325079918,6447610.616335677,14353231068.403383,3417741892.4725275,30.18175180408299,0.07131549356570127,3068259.195,4840713.348,345217.86162269826,218814.41887892626,0.07131549356570127,0.07131549356570127,56.2,0.8,0.801586147678482,182,0,182,Turkey,2024,1,0.2
TUV,Gibraltar Strait,49555.84813834776,80392030.55543643,17147.86458660276,29525632.735588446,32407.983551745,50866397.81984799,1.2335071838799585,69944.45156589519,1.0849443603315314,0.148562823548427,39300.45169661824,30643.999869276948,13.665491262793957,2.48912536101957e-5,69.694,42.9,0.0010678347798773954,0.001734771029108979,2.48912536101957e-5,2.48912536101957e-5,NA,0.4,NA,NA,0,NA,NA,NA,NA,NA
TUV,Malacca Strait,49555.84813834776,80392030.55543643,17147.86458660276,29525632.735588446,32407.983551745,50866397.81984799,18847.36764797008,29877052.20966288,21.264537348391947,18826.10311062169,60140.800834572045,29816911.408828307,23.00941665945064,0.3803258012122577,69.694,42.9,16.315976872005855,26.50642638968709,0.38032580121225773,0.3803258012122577,NA,0.8,NA,NA,0,NA,NA,NA,NA,NA
TUV,Panama Canal,49555.84813834776,80392030.55543643,17147.86458660276,29525632.735588446,32407.983551745,50866397.81984799,24.77402791867525,33004.74926718581,24.77346931917521,5.585995000441e-4,32990.22568018466,14.52358700114966,6.157253704042887,4.99921378593143e-4,69.694,42.9,0.021446627141645833,0.03484152055967051,4.99921378593143e-4,4.99921378593143e-4,NA,0.4,NA,NA,0,NA,NA,NA,NA,NA
TUV,Strait of Hormuz,49555.84813834776,80392030.55543643,17147.86458660276,29525632.735588446,32407.983551745,50866397.81984799,0,0,0,0,0,0,11.013866712990689,0,69.694,42.9,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA
TUV,Suez Canal,49555.84813834776,80392030.55543643,17147.86458660276,29525632.735588446,32407.983551745,50866397.81984799,4.831832308229804,111544.25699927424,4.326522257399331,0.5053100508304725,53375.14551398008,58169.11148529416,12.87404774451186,9.75027668730543e-5,69.694,42.9,0.0041828686988540295,0.006795357834450647,9.75027668730543e-5,9.75027668730543e-5,NA,0.4,NA,NA,0,NA,NA,NA,NA,NA
TUV,Taiwan Strait,49555.84813834776,80392030.55543643,17147.86458660276,29525632.735588446,32407.983551745,50866397.81984799,548.2072020902366,1798882.358343355,548.0177477881676,0.1894543020689299,1777450.497546483,21431.86079687165,30.18175180408299,0.011062411858228653,69.694,42.9,0.47457746871800915,0.7709837320473877,0.011062411858228653,0.011062411858228653,NA,0.8,NA,NA,0,NA,NA,NA,NA,NA
TWN,Gibraltar Strait,248400891.25433335,550406817489.0781,202267106.723614,258936986485.0686,46133784.53071937,291469831004.0096,5036085.036753157,42349748388.093445,1932846.3583939788,3103238.678359178,18160260032.256077,24189488355.837368,13.665491262793957,0.0202740216080658,NA,NA,NA,NA,NA,NA,37.2,0.4,NA,97,0,97,Taiwan,2024,4,0.8
