importer_iso3,canal,RP_ic
ETH,Gibraltar Strait,NA
ETH,Malacca Strait,NA
ETH,Panama Canal,NA
ETH,Strait of Hormuz,NA
ETH,Suez Canal,NA
ETH,Taiwan Strait,NA
FIN,Gibraltar Strait,248.86816122173593
FIN,Malacca Strait,39.833566659749415
FIN,Panama Canal,31.515248386644636
FIN,Strait of Hormuz,4.850762790911723
FIN,Suez Canal,182.16220251622872
FIN,Taiwan Strait,18.314765382809888
FJI,Gibraltar Strait,NA
FJI,Malacca Strait,NA
FJI,Panama Canal,NA
FJI,Strait of Hormuz,NA
FJI,Suez Canal,NA
FJI,Taiwan Strait,NA
FRA,Gibraltar Strait,1744.8960349397469
FRA,Malacca Strait,93.8242732612221
FRA,Panama Canal,49.283757260136724
FRA,Strait of Hormuz,234.4368285033275
FRA,Suez Canal,538.1823601322952
FRA,Taiwan Strait,25.445981737669808
FSM,Gibraltar Strait,NA
FSM,Malacca Strait,NA
FSM,Panama Canal,NA
FSM,Strait of Hormuz,NA
FSM,Suez Canal,NA
FSM,Taiwan Strait,NA
GAB,Gibraltar Strait,NA
GAB,Malacca Strait,NA
GAB,Panama Canal,NA
GAB,Strait of Hormuz,NA
GAB,Suez Canal,NA
GAB,Taiwan Strait,NA
GBR,Gibraltar Strait,705.0384607834499
GBR,Malacca Strait,87.91592520008295
GBR,Panama Canal,38.612284057559634
GBR,Strait of Hormuz,45.133284158338505
GBR,Suez Canal,341.8124163518747
GBR,Taiwan Strait,51.18431238884945
GEO,Gibraltar Strait,NA
GEO,Malacca Strait,NA
GEO,Panama Canal,NA
GEO,Strait of Hormuz,NA
GEO,Suez Canal,NA
GEO,Taiwan Strait,NA
GHA,Gibraltar Strait,NA
GHA,Malacca Strait,NA
GHA,Panama Canal,NA
GHA,Strait of Hormuz,NA
GHA,Suez Canal,NA
GHA,Taiwan Strait,NA
GIB,Gibraltar Strait,NA
GIB,Malacca Strait,NA
GIB,Panama Canal,NA
GIB,Strait of Hormuz,NA
GIB,Suez Canal,NA
GIB,Taiwan Strait,NA
GIN,Gibraltar Strait,NA
GIN,Malacca Strait,NA
GIN,Panama Canal,NA
GIN,Strait of Hormuz,NA
GIN,Suez Canal,NA
GIN,Taiwan Strait,NA
GMB,Gibraltar Strait,NA
GMB,Malacca Strait,NA
GMB,Panama Canal,NA
GMB,Strait of Hormuz,NA
GMB,Suez Canal,NA
GMB,Taiwan Strait,NA
GNB,Gibraltar Strait,NA
GNB,Malacca Strait,NA
GNB,Panama Canal,NA
GNB,Strait of Hormuz,NA
GNB,Suez Canal,NA
GNB,Taiwan Strait,NA
GNQ,Gibraltar Strait,NA
GNQ,Malacca Strait,NA
GNQ,Panama Canal,NA
GNQ,Strait of Hormuz,NA
GNQ,Suez Canal,NA
GNQ,Taiwan Strait,NA
GRC,Gibraltar Strait,284.78182733820904
GRC,Malacca Strait,14.854418441299496
GRC,Panama Canal,23.747974776457824
GRC,Strait of Hormuz,50.30604174195238
GRC,Suez Canal,164.09356525112818
GRC,Taiwan Strait,7.7758950970120395
GRD,Gibraltar Strait,NA
GRD,Malacca Strait,NA
GRD,Panama Canal,NA
GRD,Strait of Hormuz,NA
GRD,Suez Canal,NA
GRD,Taiwan Strait,NA
GTM,Gibraltar Strait,NA
GTM,Malacca Strait,NA
GTM,Panama Canal,NA
GTM,Strait of Hormuz,NA
GTM,Suez Canal,NA
GTM,Taiwan Strait,NA
GUY,Gibraltar Strait,NA
GUY,Malacca Strait,NA
GUY,Panama Canal,NA
GUY,Strait of Hormuz,NA
GUY,Suez Canal,NA
GUY,Taiwan Strait,NA
HKG,Gibraltar Strait,NA
HKG,Malacca Strait,NA
HKG,Panama Canal,NA
HKG,Strait of Hormuz,NA
HKG,Suez Canal,NA
HKG,Taiwan Strait,NA
HND,Gibraltar Strait,NA
HND,Malacca Strait,NA
HND,Panama Canal,NA
HND,Strait of Hormuz,NA
HND,Suez Canal,NA
HND,Taiwan Strait,NA
HRV,Gibraltar Strait,12.642711016419202
HRV,Malacca Strait,0.5623146849147909
HRV,Panama Canal,0.1593057822773569
HRV,Strait of Hormuz,0.38126419068678574
HRV,Suez Canal,3.7936113880305355
HRV,Taiwan Strait,0.18506793291581383
HTI,Gibraltar Strait,NA
HTI,Malacca Strait,NA
HTI,Panama Canal,NA
HTI,Strait of Hormuz,NA
HTI,Suez Canal,NA
HTI,Taiwan Strait,NA
HUN,Gibraltar Strait,0
HUN,Malacca Strait,0
HUN,Panama Canal,0
HUN,Strait of Hormuz,0
HUN,Suez Canal,0
HUN,Taiwan Strait,0
IDN,Gibraltar Strait,0
IDN,Malacca Strait,0
IDN,Panama Canal,0
IDN,Strait of Hormuz,0
IDN,Suez Canal,0
IDN,Taiwan Strait,0
IND,Gibraltar Strait,0
IND,Malacca Strait,0
IND,Panama Canal,0
IND,Strait of Hormuz,0
IND,Suez Canal,0
IND,Taiwan Strait,0
IRL,Gibraltar Strait,4.667332717127392
IRL,Malacca Strait,0.3832818558292725
IRL,Panama Canal,0.4653123873250074
IRL,Strait of Hormuz,0.1573202606875182
IRL,Suez Canal,1.8813180164152987
IRL,Taiwan Strait,0.09500254807544845
IRN,Gibraltar Strait,NA
IRN,Malacca Strait,NA
IRN,Panama Canal,NA
IRN,Strait of Hormuz,NA
IRN,Suez Canal,NA
IRN,Taiwan Strait,NA
IRQ,Gibraltar Strait,NA
IRQ,Malacca Strait,NA
IRQ,Panama Canal,NA
IRQ,Strait of Hormuz,NA
IRQ,Suez Canal,NA
IRQ,Taiwan Strait,NA
ISL,Gibraltar Strait,0
ISL,Malacca Strait,0
ISL,Panama Canal,0
ISL,Strait of Hormuz,0
ISL,Suez Canal,0
ISL,Taiwan Strait,0
ISR,Gibraltar Strait,116.16674064298346
ISR,Malacca Strait,12.233055057571697
ISR,Panama Canal,2.801821878377531
ISR,Strait of Hormuz,1.595583554348856
