"","importer_iso3","canal","q_sea_predict","v_sea_predict","q_sea_import","v_sea_import","q_sea_export","v_sea_export","q_canal","v_canal","q_canal_import","q_canal_export","v_canal_import","v_canal_export","share_q","dep_share_sea","oil_v_total","oil_q_total","oil_q_canal","oil_v_canal","dep_oil_share_q","dep_oil_share_v","criticality_oil_tonnes","rerouting_share","Stakes_ic"
"215","COD","Suez Canal",10325663.3553657,32978814586.0373,7168710.7224336,9388494405.49882,3156952.63293215,23590320180.5385,433664.089874502,1129903673.85037,396788.410341693,36875.6795328091,791294613.961157,338609059.889213,12.8740477445119,0.0419986663277327,1164.762,1835.165,77.0744824913335,48.9184505892225,0.0419986663277327,0.0419986663277327,NA,0.4,NA
"216","COD","Taiwan Strait",10325663.3553657,32978814586.0373,7168710.7224336,9388494405.49882,3156952.63293215,23590320180.5385,2306924.00140997,17372908105.3,656079.04712573,1650844.95428423,1529260283.29449,15843647822.0055,30.181751804083,0.223416542067602,1164.762,1835.165,410.006218423491,260.227098371744,0.223416542067602,0.223416542067602,NA,0.8,NA
"217","COG","Gibraltar Strait",14728944.9233152,14442699266.4658,1917476.46553551,2802163327.56571,12811468.4577797,11640535938.9,1554921.52340108,4231712648.91464,922876.596713414,632044.926687663,1494028960.16531,2737683688.74934,13.665491262794,0.105569104338201,0.065,0.099,0.0104513413294819,0.00686199178198305,0.105569104338201,0.105569104338201,NA,0.4,NA
"218","COG","Malacca Strait",14728944.9233152,14442699266.4658,1917476.46553551,2802163327.56571,12811468.4577797,11640535938.9,1102718.45994962,1013111163.14622,21121.6934239961,1081596.76652563,63463934.9608609,949647228.185359,23.0094166594506,0.0748674440491709,0.065,0.099,0.00741187696086792,0.00486638386319611,0.0748674440491709,0.0748674440491709,NA,0.8,NA
"219","COG","Panama Canal",14728944.9233152,14442699266.4658,1917476.46553551,2802163327.56571,12811468.4577797,11640535938.9,44070.1088325127,23961858.3828269,20000.9425763545,24069.1662561582,7361318.44919664,16600539.9336302,6.15725370404289,0.00299207506457247,0.065,0.099,0.000296215431392674,0.00019448487919721,0.00299207506457247,0.00299207506457247,NA,0.4,NA
"220","COG","Strait of Hormuz",14728944.9233152,14442699266.4658,1917476.46553551,2802163327.56571,12811468.4577797,11640535938.9,287707.925989743,1731064802.35021,92612.4627747336,195095.463215009,184211088.705869,1546853713.64435,11.0138667129907,0.0195335054538981,0.065,0.099,0.00193381703993591,0.00126967785450338,0.0195335054538981,0.0195335054538981,NA,0,NA
"221","COG","Suez Canal",14728944.9233152,14442699266.4658,1917476.46553551,2802163327.56571,12811468.4577797,11640535938.9,279449.94935043,1985429260.7289,51672.6228946879,227777.326455743,175551347.915756,1809877912.81314,12.8740477445119,0.018972842305091,0.065,0.099,0.00187831138820401,0.00123323474983091,0.018972842305091,0.018972842305091,NA,0.4,NA
"222","COG","Taiwan Strait",14728944.9233152,14442699266.4658,1917476.46553551,2802163327.56571,12811468.4577797,11640535938.9,6474442.44967802,4395486200.29898,117015.643392867,6357426.80628515,300768259.488997,4094717940.80998,30.181751804083,0.439572724549284,0.065,0.099,0.0435176997303791,0.0285722270957035,0.439572724549284,0.439572724549284,NA,0.8,NA
"223","COL","Gibraltar Strait",136290163.194763,104671912215.195,31106003.9291418,53376427320.8788,105184159.265621,51295484894.3161,42132971.2634799,17113326869.6346,2407348.83842754,39725622.4250523,4577309948.30621,12536016921.3284,13.665491262794,0.309141689142087,463706.436,749418.407,231676.472214152,143350.990891097,0.309141689142087,0.309141689142087,20.3,0.4,3.76534577375062
"224","COL","Malacca Strait",136290163.194763,104671912215.195,31106003.9291418,53376427320.8788,105184159.265621,51295484894.3161,1861573.83365286,1416717502.47804,110374.113301722,1751199.72035114,384398307.928063,1032319194.54998,23.0094166594506,0.0136589009068293,463706.436,749418.407,10236.2317589669,6333.72025918297,0.0136589009068293,0.0136589009068293,20.3,0.8,0.0554551376817269
