iso3,canal,q,v,q_sea_predict,v_sea_predict,q_sea_import,v_sea_import,q_sea_export,v_sea_export,q_canal,v_canal,q_canal_import,q_canal_export,v_canal_import,v_canal_export,share_q,revenue_USD
GTM,Dover Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,1408874.691247201,2020168777.8215744,656081.6693742677,752793.0218729335,1047459152.568796,972709625.2527784,10.065191692564454,0.0
GTM,Gibraltar Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,1723867.1858789602,2499222082.0331554,701752.7888800034,1022114.3969989568,1362976283.5100849,1136245798.5230706,13.665491262793955,0.0
GTM,Korea Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,1742111.8480346687,2605748154.0657883,1111030.907919797,631080.9401148717,2409560047.093635,196188106.97215295,12.400106810012938,0.0
GTM,Lombok Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,730.4141333993672,1708259.4102214435,694.393700178382,36.0204332209852,1539482.0581633823,168777.35205806117,8.12265145800382,0.0
GTM,Luzon Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,365398.5397479901,1193149082.7434888,243032.89933107243,122365.64041691764,1025514218.670678,167634864.0728109,1.4136315880596664,0.0
GTM,Magellan Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,70894.21006467495,182839903.60221586,66605.9326097438,4288.277454931143,179382487.34917626,3457416.2530395933,0.9352021965435611,0.0
GTM,Makassar Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,28288.955384219258,33303085.462600373,28224.983661674964,63.9717225442928,33114803.03669295,188282.42590742,8.897180214258098,0.0
GTM,Malacca Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,104704.47521629537,171599053.88401332,71974.45211564706,32730.02310064831,145791968.06024215,25807085.82377118,23.00941665945064,0.0
GTM,Mona Passage,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,1654823.607329545,1863274932.127161,638903.2531126091,1015920.3542169358,977265784.496528,886009147.6306329,1.564083260487246,0.0
GTM,Ombai Strait,30867921.795230944,42845875447.744316,24243619.126977526,30753942130.355362,13495953.204090592,19192739856.186195,10747665.922886934,11561202274.169168,774.3036308376104,834702.13469664,773.9581931409542,0.3454376966561786,832012.3594017411,2689.775294898948,0.05166216352982437,0.0
